ecmf prod rf 1997052500 20150525 11 046
1056 em 00  0.890  0.642  1.097 5
1056 cf 00  1.008 -0.321  1.058 4
1056 pf 01  2.193 -0.152  2.198 4
1056 pf 02  2.239 -0.297  2.259 4
1056 pf 03 -0.099  0.584  0.592 7
1056 pf 04  1.275  0.988  1.613 5
1056 pf 05 -0.742  2.073  2.202 7
1056 pf 06  0.962  1.019  1.401 6
1056 pf 07  0.585  0.768  0.966 6
1056 pf 08  0.453  0.474  0.656 6
1056 pf 09  1.119  1.367  1.766 6
1056 pf 10  0.886  0.688  1.122 5
1080 em 00  0.878  0.795  1.185 5
1080 cf 00  1.071 -0.053  1.073 4
1080 pf 01  2.530  0.511  2.581 5
1080 pf 02  1.858  0.280  1.879 5
1080 pf 03  0.219  0.872  0.899 6
1080 pf 04  1.097  1.215  1.637 6
1080 pf 05 -0.894  1.541  1.782 7
1080 pf 06  0.880  0.956  1.299 6
1080 pf 07  0.492  0.574  0.756 6
1080 pf 08  0.327  0.726  0.796 6
1080 pf 09  1.272  1.838  2.235 6
1080 pf 10  0.890  0.444  0.995 5
1104 em 00  0.794  0.837  1.154 6
1104 cf 00  1.088  0.267  1.120 5
1104 pf 01  2.207  0.675  2.308 5
1104 pf 02  1.377  0.518  1.471 5
1104 pf 03  0.595  0.652  0.883 6
1104 pf 04  1.336  1.311  1.871 5
1104 pf 05 -0.894  1.091  1.411 7
1104 pf 06  0.186  0.884  0.904 6
1104 pf 07  0.546  0.594  0.807 6
1104 pf 08  0.569  0.727  0.923 6
1104 pf 09  0.948  2.221  2.414 6
1104 pf 10  0.842  0.449  0.954 5
