ecmf prod rf 2000021800 20160218 11 046
1008 pf 02  0.125  0.680  0.692 6
1008 pf 03 -1.016  1.545  1.849 7
1008 pf 04 -0.764  1.098  1.338 7
1008 pf 05  0.272  0.845  0.887 6
1008 pf 06  0.960 -0.440  1.056 4
1008 pf 07 -0.268  1.067  1.100 7
1008 pf 08 -0.905  0.537  1.052 8
1008 pf 09 -1.784  1.739  2.491 8
1008 pf 10  0.014  1.152  1.152 6
1032 em 00 -0.273  0.825  0.869 7
1032 cf 00  0.501  0.537  0.735 6
1032 pf 01 -1.046  0.933  1.402 8
1032 pf 02 -0.074  0.682  0.686 7
1032 pf 03 -1.127  1.279  1.705 7
1032 pf 04 -0.698  0.818  1.075 7
1032 pf 05  0.337  0.732  0.806 6
1032 pf 06  0.913 -0.293  0.959 4
1032 pf 07  0.259  1.137  1.166 6
1032 pf 08 -0.755  0.392  0.850 8
1032 pf 09 -1.542  1.499  2.150 8
1032 pf 10  0.273  1.196  1.227 6
1056 em 00 -0.321  0.792  0.855 7
1056 cf 00  0.614  0.372  0.719 5
1056 pf 01 -1.162  0.917  1.480 8
1056 pf 02 -0.165  0.813  0.830 7
1056 pf 03 -1.442  1.025  1.769 8
1056 pf 04 -0.891  0.835  1.221 8
1056 pf 05  0.069  1.046  1.048 6
1056 pf 06  0.799 -0.268  0.843 4
1056 pf 07  0.401  1.162  1.229 6
1056 pf 08 -0.650 -0.048  0.652 1
1056 pf 09 -1.409  1.349  1.951 8
1056 pf 10  0.361  1.355  1.403 6
1080 em 00 -0.340  0.785  0.855 7
1080 cf 00  0.555  0.359  0.661 5
1080 pf 01 -1.606  0.875  1.829 8
1080 pf 02 -0.344  1.226  1.273 7
1080 pf 03 -1.353  0.504  1.444 8
1080 pf 04 -1.022  0.930  1.382 8
1080 pf 05  0.006  1.155  1.155 6
1080 pf 06  0.847 -0.010  0.847 4
1080 pf 07  0.355  0.989  1.051 6
1080 pf 08 -0.203 -0.103  0.228 1
1080 pf 09 -1.166  1.126  1.621 8
1080 pf 10  0.243  1.415  1.436 6
1104 em 00 -0.354  0.823  0.896 7
1104 cf 00  0.427  0.554  0.699 6
1104 pf 01 -1.434  0.748  1.618 8
1104 pf 02 -0.551  1.808  1.890 7
1104 pf 03 -1.529  0.133  1.535 8
1104 pf 04 -0.935  0.873  1.279 8
1104 pf 05 -0.210  1.109  1.128 7
1104 pf 06  0.951  0.172  0.967 5
1104 pf 07  0.335  1.011  1.065 6
1104 pf 08 -0.301 -0.049  0.305 1
1104 pf 09 -0.737  0.907  1.169 7
1104 pf 10  0.143  1.637  1.643 6
