Date_day0,RMM1(0),RMM2(0),RMM1(forecast),RMM2(forecast),RMM1(obs),RMM2(obs)
2006-06-25,0.6069391369819641,-0.33937621116638184,0.9359999999999999,0.16,0.636395275592804,0.8052709102630615
2006-06-29,0.9635459184646606,0.5766884088516235,0.315,0.517,-0.47852402925491333,1.1398028135299683
2006-07-02,0.04539242386817932,0.9318532347679138,0.10800000000000001,0.938,-0.3001057207584381,1.502261996269226
2006-07-06,-0.338338166475296,1.4386271238327026,-0.10800000000000001,0.7340000000000001,-0.6098140478134155,0.9523606896400452
2006-07-09,-0.4169176518917084,1.0831716060638428,0.21,0.9690000000000001,-0.848756730556488,1.0113694667816162
2006-07-13,-0.911876380443573,1.0692378282546997,-0.382,0.84,-0.7787356972694397,0.5961063504219055
2006-07-16,-0.5068259239196777,0.8057284355163574,-0.593,0.456,-0.7799333930015564,0.6918831467628479
2006-07-20,-0.9560121893882751,0.5780988931655884,-0.591,0.311,-0.9268458485603333,0.03431789577007294
2006-07-23,-0.5420373678207397,0.7852303385734558,-0.557,-0.071,-0.2788735032081604,-0.015455913729965687
2006-07-27,-0.6582597494125366,-0.024349788203835487,-0.574,-0.6679999999999999,-0.1086621880531311,-0.639990508556366
2006-07-30,-0.31080687046051025,-0.5665179491043091,-0.22899999999999998,-1.0590000000000002,0.29263076186180115,-0.23603446781635284
2006-08-03,0.2754003405570984,-0.5014364719390869,0.966,0.132,1.0759881734848022,0.6055766344070435
2006-08-06,0.7824841141700745,0.44273725152015686,0.726,0.359,0.8751382827758789,0.6491075158119202
2006-08-10,1.1129693984985352,0.5805548429489136,0.615,0.591,0.059284716844558716,0.40234625339508057
2006-08-13,0.5214231014251709,0.9250438213348389,-0.207,0.515,-0.7434162497520447,0.5723845958709717
2006-08-17,-0.49589475989341736,0.4993065893650055,-0.652,0.56,-1.136406421661377,0.2455962896347046
2006-08-20,-1.0240306854248047,0.8519737720489502,-0.616,-0.168,-1.2913727760314941,-0.42040735483169556
2006-08-24,-1.2349107265472412,-0.2653876841068268,-0.293,-0.6609999999999999,-0.7634918093681335,-0.5233524441719055
2006-08-27,-0.7270067930221558,-0.5540727376937866,-0.638,-0.20199999999999999,-0.8569352030754089,-0.22400625050067902
2006-08-31,-0.8027206063270569,-0.3948022425174713,-1.26,0.295,-0.986862063407898,-0.1624743640422821
2006-09-03,-1.0933219194412231,-0.15193170309066772,-0.7759999999999999,-0.28300000000000003,-0.8033407926559448,-1.2440381050109863
2006-09-07,-0.978740394115448,-0.9426679611206055,0.08199999999999999,-1.025,0.21467401087284088,-1.2982929944992065
2006-09-10,-0.22809487581253052,-1.2767211198806763,0.125,-1.1740000000000002,0.14216329157352448,-1.1872600317001343
2006-09-14,0.277700811624527,-1.3301907777786255,0.19399999999999998,-0.13,-0.005070976912975311,-0.5112698674201965
2006-09-17,0.024817802011966705,-0.7070925831794739,0.659,-0.266,1.0375598669052124,-0.37211447954177856
2006-09-21,0.7136768102645874,-0.3907840847969055,0.961,-0.036000000000000004,1.5147544145584106,0.042425885796546936
2006-09-24,1.2229111194610596,-0.07051856070756912,0.867,0.128,1.643781065940857,0.4189996123313904
